

##########################################################################################################################

################################################### For binary BoW #######################################################

Optimizing for label: toxic
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
| 40        | 0.9196    | 3.704     | 0.9945    | 1.058     | 1.054     | 1.0       |
| 41        | 0.9518    | 1.175     | 0.7       | 5.0       | 1.832     | 1.0       |
| 42        | 0.9526    | 3.241     | 1.0       | 1.933     | 3.0       | 1.0       |
| 43        | 0.9543    | 2.592     | 1.0       | 4.046     | 2.426     | 1.0       |
| 44        | 0.9578    | 1.659     | 1.0       | 5.0       | 2.427     | 1.0       |
| 45        | 0.9591    | 1.23      | 0.7       | 2.046     | 3.0       | 1.0       |
| 46        | 0.9567    | 2.391     | 0.7       | 1.73      | 3.0       | 1.0       |
| 47        | 0.9588    | 1.635     | 1.0       | 2.927     | 3.0       | 1.0       |
| 48        | 0.9577    | 1.668     | 0.7065    | 1.352     | 2.584     | 1.0       |
| 49        | 0.9579    | 2.02      | 0.7       | 3.352     | 3.0       | 1.0       |
| 50        | 0.9491    | 3.825     | 1.0       | 5.0       | 3.0       | 1.0       |
| 51        | 0.9588    | 0.8146    | 0.7       | 4.709     | 3.0       | 1.0       |
| 52        | 0.9589    | 1.512     | 1.0       | 1.423     | 3.0       | 1.0       |
| 53        | 0.9552    | 2.758     | 1.0       | 3.574     | 3.0       | 1.0       |
| 54        | 0.9591    | 1.061     | 1.0       | 5.0       | 3.0       | 1.0       |
| 55        | 0.9581    | 0.6438    | 0.9734    | 3.645     | 2.974     | 1.0       |
| 56        | 0.9578    | 2.084     | 0.7       | 4.367     | 3.0       | 1.0       |
| 57        | 0.9555    | 0.5913    | 0.7       | 4.022     | 1.657     | 1.0       |
| 58        | 0.9586    | 1.732     | 0.7       | 2.482     | 3.0       | 1.0       |
| 59        | 0.9588    | 1.137     | 1.0       | 4.682     | 2.382     | 1.0       |
| 60        | 0.9588    | 0.8827    | 0.7575    | 4.033     | 2.988     | 1.0       |
=====================================================================================
Best parameters for label obscene: {'alpha': 1.2298381626178778, 'max_df': 0.7, 'min_df': 2, 'ngram_range': (1, 3)}
Optimizing for label: threat
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.8271    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.8811    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9359    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.8383    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.773     | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.7865    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.8       | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.7854    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.8959    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.7951    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9359    | 0.01998   | 0.9413    | 4.557     | 2.939     | 1.0       |
| 12        | 0.9252    | 0.01      | 1.0       | 1.0       | 1.0       | 1.0       |
| 13        | 0.9308    | 0.01      | 1.0       | 1.0       | 3.0       | 1.0       |
| 14        | 0.9251    | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 15        | 0.94      | 0.02974   | 0.7589    | 3.15      | 2.311     | 1.0       |
| 16        | 0.9363    | 0.02515   | 0.8508    | 3.194     | 1.007     | 1.0       |
| 17        | 0.9308    | 0.01      | 1.0       | 2.734     | 3.0       | 1.0       |
| 18        | 0.925     | 0.01      | 0.7       | 4.141     | 1.955     | 1.0       |
| 19        | 0.9249    | 0.01      | 1.0       | 2.09      | 1.859     | 1.0       |
| 20        | 0.7764    | 9.763     | 0.977     | 4.977     | 2.97      | 1.0       |
| 21        | 0.9282    | 0.01      | 0.7       | 1.0       | 2.127     | 1.0       |
| 22        | 0.8691    | 1.183     | 1.0       | 5.0       | 1.0       | 1.0       |
| 23        | 0.9149    | 0.908     | 1.0       | 5.0       | 3.0       | 1.0       |
| 24        | 0.925     | 0.01      | 1.0       | 3.405     | 1.868     | 1.0       |
| 25        | 0.9274    | 0.6379    | 0.7142    | 3.683     | 2.909     | 1.0       |
| 26        | 0.7532    | 10.0      | 1.0       | 1.0       | 1.0       | 1.0       |
| 27        | 0.9249    | 0.01      | 0.7       | 2.034     | 1.0       | 1.0       |
| 28        | 0.925     | 0.01      | 1.0       | 4.163     | 1.0       | 1.0       |
| 29        | 0.9285    | 0.01      | 1.0       | 5.0       | 2.002     | 1.0       |
| 30        | 0.8537    | 1.432     | 0.7       | 1.0       | 1.0       | 1.0       |
| 31        | 0.8063    | 5.526     | 1.0       | 5.0       | 3.0       | 1.0       |
| 32        | 0.9308    | 0.01      | 0.7       | 1.868     | 3.0       | 1.0       |
| 33        | 0.9308    | 0.01      | 1.0       | 3.724     | 3.0       | 1.0       |
| 34        | 0.9308    | 0.01      | 0.7       | 3.125     | 3.0       | 1.0       |
| 35        | 0.9051    | 0.5388    | 0.7       | 3.543     | 1.0       | 1.0       |
| 36        | 0.8369    | 3.292     | 1.0       | 1.0       | 3.0       | 1.0       |
| 37        | 0.9402    | 0.4194    | 0.7453    | 2.493     | 2.701     | 1.0       |
| 38        | 0.9284    | 0.01      | 0.7       | 2.553     | 2.277     | 1.0       |
| 39        | 0.9108    | 0.9811    | 1.0       | 2.478     | 3.0       | 1.0       |
| 40        | 0.9249    | 0.01      | 1.0       | 2.614     | 1.0       | 1.0       |
| 41        | 0.771     | 6.98      | 0.7       | 5.0       | 1.0       | 1.0       |
| 42        | 0.9308    | 0.01      | 0.7       | 5.0       | 3.0       | 1.0       |
| 43        | 0.936     | 0.4988    | 0.9627    | 1.569     | 2.366     | 1.0       |
| 44        | 0.9314    | 0.5709    | 0.963     | 3.105     | 2.361     | 1.0       |
| 45        | 0.9475    | 0.2711    | 0.9991    | 1.921     | 2.736     | 1.0       |
| 46        | 0.9316    | 0.01356   | 0.9588    | 1.638     | 2.327     | 1.0       |
| 47        | 0.9308    | 0.5878    | 0.8307    | 1.503     | 2.997     | 1.0       |
| 48        | 0.9396    | 0.4363    | 0.934     | 4.624     | 2.525     | 1.0       |
| 49        | 0.9131    | 0.4416    | 0.7017    | 4.904     | 1.684     | 1.0       |
| 50        | 0.9456    | 0.3568    | 1.0       | 2.042     | 3.0       | 1.0       |
| 51        | 0.9392    | 0.4425    | 1.0       | 4.065     | 2.405     | 1.0       |
| 52        | 0.9448    | 0.3702    | 0.7       | 4.399     | 3.0       | 1.0       |
| 53        | 0.9374    | 0.4714    | 0.9912    | 2.196     | 2.539     | 1.0       |
| 54        | 0.9248    | 0.3368    | 1.0       | 1.0       | 1.947     | 1.0       |
| 55        | 0.9504    | 0.1799    | 0.7231    | 3.938     | 2.787     | 1.0       |
| 56        | 0.9421    | 0.03637   | 0.7467    | 4.037     | 2.662     | 1.0       |
| 57        | 0.9464    | 0.287     | 0.7       | 3.579     | 2.502     | 1.0       |
| 58        | 0.9509    | 0.1499    | 0.7029    | 3.993     | 2.89      | 1.0       |
| 59        | 0.9447    | 0.3368    | 0.7       | 4.129     | 2.735     | 1.0       |
| 60        | 0.9509    | 0.1431    | 0.7       | 3.698     | 2.807     | 1.0       |
=====================================================================================
Best parameters for label threat: {'alpha': 0.14313711598103757, 'max_df': 0.7, 'min_df': 3, 'ngram_range': (1, 2)}
Optimizing for label: insult
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.9406    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9533    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9533    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.9372    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.8863    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.9081    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.9214    | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.9065    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.9544    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.9172    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9512    | 0.1897    | 0.8948    | 3.64      | 3.0       | 1.0       |
| 12        | 0.9339    | 0.01      | 1.0       | 1.63      | 1.785     | 1.0       |
| 13        | 0.9316    | 0.01      | 0.7       | 5.0       | 2.772     | 1.0       |
| 14        | 0.9423    | 1.644     | 1.0       | 5.0       | 1.0       | 1.0       |
| 15        | 0.95      | 2.667     | 1.0       | 1.0       | 3.0       | 1.0       |
| 16        | 0.949     | 2.518     | 0.9743    | 4.983     | 2.888     | 1.0       |
| 17        | 0.9283    | 5.492     | 1.0       | 5.0       | 3.0       | 1.0       |
| 18        | 0.9552    | 1.185     | 1.0       | 2.464     | 3.0       | 1.0       |
| 19        | 0.863     | 10.0      | 1.0       | 5.0       | 1.0       | 1.0       |
| 20        | 0.9501    | 2.658     | 0.7       | 3.344     | 3.0       | 1.0       |
| 21        | 0.9353    | 0.01669   | 0.7427    | 1.262     | 2.965     | 1.0       |
| 22        | 0.9385    | 1.745     | 0.7593    | 1.004     | 1.0       | 1.0       |
| 23        | 0.9341    | 0.01      | 0.7       | 3.333     | 1.0       | 1.0       |
| 24        | 0.9549    | 1.419     | 1.0       | 3.889     | 3.0       | 1.0       |
| 25        | 0.9103    | 4.259     | 0.7       | 5.0       | 1.0       | 1.0       |
| 26        | 0.9412    | 3.939     | 1.0       | 2.547     | 3.0       | 1.0       |
| 27        | 0.9532    | 2.012     | 0.7       | 1.812     | 3.0       | 1.0       |
| 28        | 0.9344    | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 29        | 0.9546    | 0.7161    | 1.0       | 3.889     | 2.147     | 1.0       |
| 30        | 0.8958    | 10.0      | 1.0       | 1.0       | 3.0       | 1.0       |
| 31        | 0.9523    | 1.882     | 1.0       | 1.0       | 2.286     | 1.0       |
| 32        | 0.9433    | 3.66      | 0.7       | 4.289     | 3.0       | 1.0       |
| 33        | 0.9542    | 1.231     | 1.0       | 5.0       | 2.168     | 1.0       |
| 34        | 0.9541    | 1.732     | 1.0       | 1.0       | 3.0       | 1.0       |
| 35        | 0.9509    | 2.156     | 1.0       | 4.297     | 2.403     | 1.0       |
| 36        | 0.9489    | 0.9612    | 1.0       | 4.438     | 1.619     | 1.0       |
| 37        | 0.954     | 1.34      | 0.9881    | 4.868     | 2.946     | 1.0       |
| 38        | 0.9319    | 0.01      | 1.0       | 3.763     | 2.074     | 1.0       |
| 39        | 0.9148    | 3.507     | 1.0       | 1.0       | 1.0       | 1.0       |
| 40        | 0.9553    | 0.8922    | 0.7       | 3.25      | 3.0       | 1.0       |
| 41        | 0.9134    | 7.361     | 0.7       | 5.0       | 3.0       | 1.0       |
| 42        | 0.9399    | 4.088     | 0.7       | 1.0       | 3.0       | 1.0       |
| 43        | 0.9498    | 2.703     | 1.0       | 2.319     | 3.0       | 1.0       |
| 44        | 0.9339    | 0.01      | 0.7       | 1.0       | 1.0       | 1.0       |
| 45        | 0.9546    | 0.7553    | 0.9807    | 4.281     | 2.853     | 1.0       |
| 46        | 0.954     | 1.396     | 0.9205    | 1.826     | 2.27      | 1.0       |
| 47        | 0.933     | 2.364     | 0.7       | 5.0       | 1.978     | 1.0       |
| 48        | 0.9546    | 1.059     | 0.7481    | 1.021     | 2.062     | 1.0       |
| 49        | 0.9532    | 2.016     | 0.7       | 4.386     | 3.0       | 1.0       |
| 50        | 0.9537    | 0.3965    | 1.0       | 2.671     | 3.0       | 1.0       |
| 51        | 0.9327    | 4.989     | 1.0       | 3.575     | 3.0       | 1.0       |
| 52        | 0.9489    | 2.867     | 1.0       | 3.991     | 3.0       | 1.0       |
| 53        | 0.9542    | 1.252     | 1.0       | 4.254     | 2.474     | 1.0       |
| 54        | 0.9551    | 0.7611    | 1.0       | 3.468     | 3.0       | 1.0       |
| 55        | 0.9526    | 0.5946    | 1.0       | 4.031     | 1.0       | 1.0       |
| 56        | 0.9552    | 0.9069    | 0.7       | 2.003     | 3.0       | 1.0       |
| 57        | 0.9552    | 0.9274    | 0.7       | 4.006     | 3.0       | 1.0       |
| 58        | 0.9549    | 1.411     | 1.0       | 1.707     | 3.0       | 1.0       |
| 59        | 0.9534    | 1.573     | 0.7       | 1.293     | 2.463     | 1.0       |
| 60        | 0.9546    | 0.8662    | 0.7       | 2.532     | 2.436     | 1.0       |
=====================================================================================
Best parameters for label insult: {'alpha': 0.8921676778066149, 'max_df': 0.7, 'min_df': 3, 'ngram_range': (1, 3)}
Optimizing for label: identity_hate
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.867     | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
